tweet_id,created_at,text,clean_text,cluster
18232,Fri Dec 01 00:32:50 +0000 2017,"@115725 I have been on hold for 98 minutes, what are y’all doing?
@VerizonSupport https://t.co/Pm1eI9GfEB","i have been on hold for 98 minutes, what are y’all doing?",10
17819,Fri Dec 01 00:33:16 +0000 2017,@115722 any way you can shake loose an installation time that isn’t shown online?,any way you can shake loose an installation time that isn’t shown online?,10
17864,Fri Dec 01 00:35:20 +0000 2017,"@115722 Wow... Maybe you should reboot the router again! Wheeeeee! SCRIPTS! Just put me back on hold while you transfer me to technical support... It's they don't pick up after 40 minutes on hold, the old router gets hooked back up. You know, the one that worked?","wow... maybe you should reboot the router again! wheeeeee! scripts! just put me back on hold while you transfer me to technical support... it's they don't pick up after 40 minutes on hold, the old router gets hooked back up. you know, the one that worked?",9
10503,Fri Dec 01 00:37:34 +0000 2017,@115725  is garbage. My office phone hasnt worked right since September. Now the VM PW is suddenly rejected and after 2 weeks they still can’t fix it 🖕🖕🖕Verizon,is garbage. my office phone hasnt worked right since september. now the vm pw is suddenly rejected and after 2 weeks they still can’t fix it 🖕🖕🖕verizon,7
7950,Fri Dec 01 00:41:22 +0000 2017,@VerizonSupport My office phone and internet have been out for two weeks. Maybe it’s for me?,my office phone and internet have been out for two weeks. maybe it’s for me?,7
17818,Fri Dec 01 00:42:01 +0000 2017,@VerizonSupport I have December 11 scheduled but it’d be perfect if it could be the 10th...,i have december 11 scheduled but it’d be perfect if it could be the 10th...,10
17749,Fri Dec 01 00:46:56 +0000 2017,@115722 what channel is the Sixers game on if it's Blacked out on NBA tv??? 08901,what channel is the sixers game on if it's blacked out on nba tv??? 08901,1
10494,Fri Dec 01 00:51:21 +0000 2017,@VerizonSupport Opened second ticket number last Friday and received a call to@my cell that it was corrected. Guess what? it’s not,opened second ticket number last friday and received a call to cell that it was corrected. guess what? it’s not,10
11526,Fri Dec 01 00:51:40 +0000 2017,"@VerizonSupport what channel is the Sixers game on if it's Blacked out on NBA tv??? 08901
@1638",what channel is the sixers game on if it's blacked out on nba tv??? 08901,1
7947,Fri Dec 01 00:54:14 +0000 2017,@VerizonSupport They just know we all have so many problems.,they just know we all have so many problems.,6
7776,Fri Dec 01 00:54:46 +0000 2017,"@VerizonSupport when I check my voice mail it says that ""voicemail is not active"" - how do I activate it?","when i check my voice mail it says that ""voicemail is not active"" - how do i activate it?",10
7757,Fri Dec 01 00:56:33 +0000 2017,@115722 why is @699 doing this 🤨 never had this problem before 🤔 https://t.co/C7C5tYh1nf,why is doing this 🤨 never had this problem before 🤔,10
12904,Fri Dec 01 00:57:44 +0000 2017,"@118613 @118614 @118615 Same. @115722, What's up with this? Why is @699 blacked out in Northern NJ?","same. , what's up with this? why is blacked out in northern nj?",10
10490,Fri Dec 01 00:59:54 +0000 2017,@VerizonSupport It’s a nice simple small claims case,it’s a nice simple small claims case,10
18231,Fri Dec 01 01:04:07 +0000 2017,@VerizonSupport I DM’d y’all  10 minutes ago .I’m still on hold....,i dm’d y’all 10 minutes ago .i’m still on hold....,10
13328,Fri Dec 01 01:34:20 +0000 2017,@VerizonSupport It’s a little higher now https://t.co/Lg4MzEaYY2,it’s a little higher now,10
13330,Fri Dec 01 01:39:20 +0000 2017,"@VerizonSupport It appears everything is fine now.... this happens a lot, randomly","it appears everything is fine now.... this happens a lot, randomly",10
97909,Fri Dec 01 02:19:24 +0000 2017,@VerizonSupport Still terrible. I dare you to fix this,still terrible. i dare you to fix this,10
79689,Fri Dec 01 06:11:25 +0000 2017,I Telly you @VerizonSupport and @115722 couldn't be any worse.,i telly you and couldn't be any worse.,10
79687,Fri Dec 01 06:17:18 +0000 2017,@VerizonSupport Yeah return the last hour of my life.  Train your reps to be empathetic.  And get a better automated system @VerizonSupport,yeah return the last hour of my life. train your reps to be empathetic. and get a better automated system,10
79685,Fri Dec 01 06:29:17 +0000 2017,@VerizonSupport No all I need is a replacement modem.  The 5ghz band is flakey at best.  Have to reboot modem weekly due to this and other speed issues,no all i need is a replacement modem. the 5ghz band is flakey at best. have to reboot modem weekly due to this and other speed issues,10
79682,Fri Dec 01 06:34:53 +0000 2017,@VerizonSupport Like I said can I get my last hour back. If you can't give me that you can't help.,like i said can i get my last hour back. if you can't give me that you can't help.,5
79673,Fri Dec 01 06:43:59 +0000 2017,@VerizonSupport I told you how this can be resolved as I told the rep I spoke with but yet you want to educate me.,i told you how this can be resolved as i told the rep i spoke with but yet you want to educate me.,10
79672,Fri Dec 01 06:51:05 +0000 2017,@VerizonSupport No I'm good thanks too much time wasted with this already.  Time is money tick tock @VerizonSupport,no i'm good thanks too much time wasted with this already. time is money tick tock,10
80484,Fri Dec 01 15:15:40 +0000 2017,"Yet again @115725 has tricked us into paying for a new line with a ""free tablet."" Dirty.","yet again has tricked us into paying for a new line with a ""free tablet."" dirty.",9
17788,Fri Dec 01 17:04:46 +0000 2017,"@VerizonSupport Apparently @VerizonSupport is experiencing ""longer than average wait times."" Tell me about it. My office phone and internet has been out for more than two weeks. Same with my neighbors. Someone @115725 is lying to their boss, not just to me.","apparently is experiencing ""longer than average wait times."" tell me about it. my office phone and internet has been out for more than two weeks. same with my neighbors. someone is lying to their boss, not just to me.",7
276853,Fri Nov 03 16:23:13 +0000 2017,@VerizonSupport Is someone able to use my number to make solicitation calls without my consent?! I want that stopped!,is someone able to use my number to make solicitation calls without my consent?! i want that stopped!,10
276836,Fri Nov 03 16:30:01 +0000 2017,@VerizonSupport I was at one of your stores today and was assured a soft credit inquiry from Transunion. Didn’t want to risk a hard pull 1/2,i was at one of your stores today and was assured a soft credit inquiry from transunion. didn’t want to risk a hard pull 1/2,10
276845,Fri Nov 03 16:41:12 +0000 2017,@VerizonSupport Bill went up $25 &amp; I receive lots of mail with your deals that I cant use. Please help-I want to receive the value I pay for,bill went up $25 i receive lots of mail with your deals that i cant use. please help-i want to receive the value i pay for,5
276834,Fri Nov 03 16:41:16 +0000 2017,@VerizonSupport I got a notification that my credit was hard pulled an hour later.,i got a notification that my credit was hard pulled an hour later.,10
276841,Fri Nov 03 16:41:30 +0000 2017,"Oh great @VerizonSupport 
My download speed is running between 0.08 and 0.18. Restarting the modem does not help",oh great my download speed is running between 0.08 and 0.18. restarting the modem does not help,5
276844,Fri Nov 03 16:45:14 +0000 2017,@VerizonSupport This is for my residential account,this is for my residential account,10
159741,Fri Nov 10 10:42:39 +0000 2017,"@115722 for all the money that #VerizonFios is charging in NYC you would at least think they wouldn't be ignorant, dissrespectful, super poor customer service losers! #Optimum is paying Verizon contract fees &amp; I promise you I'm going with it.","for all the money that verizonfios is charging in nyc you would at least think they wouldn't be ignorant, dissrespectful, super poor customer service losers! optimum is paying verizon contract fees i promise you i'm going with it.",8
123618,Fri Nov 24 00:53:52 +0000 2017,@VerizonSupport You guys said we have to make an appt cuz u guys are upgrading in our area else our phone service will be interrupted. I called 3 different days and 3 diff times and can't get an appt.,you guys said we have to make an appt cuz u guys are upgrading in our area else our phone service will be interrupted. i called 3 different days and 3 diff times and can't get an appt.,7
124573,Fri Nov 24 01:28:12 +0000 2017,Come home from Thanksgiving Dinner and both my internet and cable are down. Thanks @VerizonSupport!,come home from thanksgiving dinner and both my internet and cable are down. thanks !,0
124568,Fri Nov 24 01:33:52 +0000 2017,@115722 whybarent you working :(,whybarent you working :(,10
