case_id,customer_tweet_id,customer_created_at,customer_text,support_tweet_id,support_created_at,historical_verizon_reply,intent_label,intent_confidence,should_escalate,escalation_reason,expected_resolution,review_notes,prelabel_intent
VZ-001,2697695,Sun Nov 19 19:28:23 +0000 2017,The entire internet has moved on to IPv6 but you haven't -&gt; @115722,2697694,Sun Nov 19 19:30:25 +0000 2017,@757998 Thank you for the feedback. ^CAR,,,,,,,I12
VZ-002,2979024,Thu Nov 30 03:49:54 +0000 2017,@115722 I’ve spent 5 hours today trying to get this straightened out. Still awaiting a call back and rep missed time slot... not sure what BAB is?,2979022,Thu Nov 30 03:54:29 +0000 2017,"@821611 We can assist you here with your Fios service.
^NHP",,,,,,,I12
VZ-003,1502836,Mon Oct 16 22:54:13 +0000 2017,C''mom @115722 get with it. Yankees are coming on and the channel along with 100's of others are out!!!,1502832,Mon Oct 16 23:00:00 +0000 2017,"@468808 Yikes! What is showing on the channel you are trying to watch, at this time? ^RMD",,,,,,,I04
VZ-004,1233650,Mon Oct 16 01:36:16 +0000 2017,@VerizonSupport I used to get 80 down 50 up,1233652,Mon Oct 16 01:38:32 +0000 2017,@409345 Can you run a speed test with PC directly wired to your router (https://t.co/jB1NmeGvuv)? What speeds are we getting? ^FEM,,,,,,,I12
VZ-005,1330850,Sat Oct 28 21:24:43 +0000 2017,@VerizonSupport System status light is off,1330853,Sat Oct 28 21:27:00 +0000 2017,"@430479 Ok, check your power outlet to make sure it is still working by plugging something into your outlet. 
^ADP",,,,,,,I12
VZ-006,1575094,Tue Oct 17 06:39:52 +0000 2017,.@VerizonSupport why is your internet so absolutely trash in area code 92407? massive drop. down to only 5mbps for two days. impossible,1575092,Tue Oct 17 06:40:52 +0000 2017,"@119824 Hi Frank, Let us partner you with our Verizon Wireless Team @115990.  We will get this over to them for you. 
^FEM",,,,,,,I02
VZ-007,1801532,Wed Oct 18 01:23:53 +0000 2017,"@VerizonSupport Verizon down in Spring Valley, NY",1801530,Wed Oct 18 01:28:00 +0000 2017,@541307 Up to date outage info can be found at https://t.co/tdPvxRi4pe. ^NHP,,,,,,,I12
VZ-008,2247639,Fri Nov 10 19:52:31 +0000 2017,@VerizonSupport Bill went from $88 to $152 because I moved and you couldn't fulfill my old contract. Guess it wasn't true when they said the price would still be the same.,2247638,Fri Nov 10 20:02:00 +0000 2017,"@654984 We understand. The price can change with how you either has it set up month to month or contract and if you have no contract. 
^ADP",,,,,,,I07
VZ-009,1022248,Sun Oct 22 23:02:42 +0000 2017,@VerizonSupport It just doesn't work. It says there's a network error or something. Then I restart the app. And it works for 3 minutes. Then stops.,1022247,Sun Oct 22 23:09:00 +0000 2017,@361887 Thank you. Please follow and DM so we can discuss this further. ^DDD,,,,,,,I12
VZ-010,2095991,Sat Nov 04 03:23:18 +0000 2017,"@VerizonSupport please, my internet is crawling. I'm in Reston and pay for gigabit but I get a quarter of that with an insane 5000+ms ping",2095990,Sat Nov 04 04:43:28 +0000 2017,"@619220 Hello, Are you testing your service wired or wireless?
^NHP",,,,,,,I12
VZ-011,907884,Sat Oct 21 02:33:10 +0000 2017,@VerizonSupport Cablevision was in room  two years ago,907885,Sat Oct 21 02:36:00 +0000 2017,"@180130 That may be correct but if Fios has not been there then the cable will be disconnected at the main splitter.
^FEM",,,,,,,I04
VZ-012,1287425,Fri Oct 27 02:43:23 +0000 2017,@VerizonSupport Nahhh what you need to do is let people pay per channel. Get with the times! I don’t watch half the shit you put in packages! You’re theives,1287428,Fri Oct 27 02:45:29 +0000 2017,"@421125 Have you checked online for our custom TV promotions?
^BAB",,,,,,,I04
VZ-013,1213988,Wed Oct 25 16:18:41 +0000 2017,@VerizonSupport the link doesn’t show me any return labels. it says “sign in and print a label” i’m signed in.,1213989,Wed Oct 25 16:24:10 +0000 2017,@404926 You need to sign in to your account to print that return label. ^BCW,,,,,,,I06
VZ-014,1406037,Sat Oct 28 18:43:05 +0000 2017,@VerizonSupport I know how to read my bill. It's listed as a one-time activity. No credit. Complete fraud. I wonder how many customers Verizon did this to?,1406040,Sat Oct 28 18:52:25 +0000 2017,"@168875 No worries, we can help follow and DM us.
^JAY",,,,,,,I10
VZ-015,326073,Sat Oct 07 16:07:49 +0000 2017,@VerizonSupport Nvm. It's back.,326070,Sat Oct 07 16:10:00 +0000 2017,"@193686 Ok, let us know if that happens again. But we are not seeing anything going on in your area. 
^ADP",,,,,,,I12
VZ-016,863276,Fri Oct 13 14:46:47 +0000 2017,Who else pays extra for this @116136 feature?  Honestly!😤 Where are you @115722? #saveme https://t.co/0IafUPf45b,863275,Fri Oct 13 14:51:34 +0000 2017,@325000 Come  join the team. https://t.co/Wc9WXQV1jc ^CAR,,,,,,,I12
VZ-017,2739842,Mon Nov 20 16:56:35 +0000 2017,@VerizonSupport over an hour wait to speak to someone about a bill?  That's crazy.  Trying to help my elderly parents with their bill.,2739840,Mon Nov 20 17:00:24 +0000 2017,"@352581 We can assist you here.  How can we help?
^TDC",,,,,,,I07
VZ-018,2788662,Tue Nov 21 18:42:29 +0000 2017,So yesterday Verizon was supposed to come by and upgrade their stuff here. Also it took over an hour of my pizza being out for delivery to get here from 10 minutes down the road. Yesterday was nothing but delays which pushes all my plans back. Fun.,2788661,Tue Nov 21 19:08:52 +0000 2017,@778430 Help is here! How can we assist? ^DDG,,,,,,,I12
VZ-019,1792688,Thu Oct 12 01:16:47 +0000 2017,I’m about to cancel @115955... they’re really pieces of shit if they’re taking away channels. Next time Verizon knocks I will sign up.,1792687,Thu Oct 12 01:30:00 +0000 2017,"@538445 Hear us knocking? We'd love to have you in the Fios family. Please check here for availability and pricing: https://t.co/kkH4JcNtNB 
^HSB",,,,,,,I04
VZ-020,462122,Fri Dec 01 02:04:44 +0000 2017,@119000 I never tried so hard to give someone business that wouldn’t let me even ask questions online. 25 Times I did “I’m not a robot” if this is indicator maybe verizon not so bad,462119,Fri Dec 01 02:15:00 +0000 2017,@224821 We'd love to have you with Fios. Check out our promos for new customers at https://t.co/nxpY4LB2L3  ^JRA,,,,,,,I12
