case_id,customer_tweet_id,customer_created_at,customer_text,support_tweet_id,support_created_at,historical_verizon_reply,prelabel_intent,prelabel_confidence,intent_label,intent_confidence,should_escalate,escalation_reason,expected_resolution,review_notes
VZ-001,2544363,Thu Nov 16 14:02:33 +0000 2017,@VerizonSupport That didn’t work. Tried both My Fios and Fios Mobile apps.,2544364,Thu Nov 16 14:05:30 +0000 2017,@723269 Can you uninstall and reinstall the App? ^TDC,I06,8,,,,,,
VZ-002,893675,Fri Oct 13 18:02:17 +0000 2017,"@115722 any updates about the outage in Cliffside Park, NJ? Going on 12 hours with no service.",893673,Fri Oct 13 18:06:32 +0000 2017,@320016 Let us look into it for you. Please DM us the details. ^TNT,I01,4,,,,,,
VZ-003,2757155,Tue Nov 21 03:38:03 +0000 2017,@VerizonSupport Not really. And my settings weren't an issue before. Nothing has changed except my download speed.,2757156,Tue Nov 21 03:40:57 +0000 2017,@771620 We were asking because the next step in troubleshooting would be to factory reset the router. If any settings in the router have been changed they will default back to the information on the sticker. Can you please factory reset the router? ^HSB https://t.co/r6xRxLwpyN,I02,3,,,,,,
VZ-004,2853983,Mon Nov 27 20:50:22 +0000 2017,@VerizonSupport Cellular. I’ve opened a fraud case however it takes too long to reach a person and your service reps are rude. Very long process to address something I️ didn’t do.,2853985,Mon Nov 27 20:51:28 +0000 2017,@793386 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns. ^TDC,I10,5,,,,,,
VZ-005,2451538,Wed Nov 15 02:34:40 +0000 2017,@VerizonSupport I cancelled my contract a month ago when I moved; why am I still being billed? Why do I have an appt for installation? Why did your agent hang up on me?,2451536,Wed Nov 15 02:38:00 +0000 2017,"@702499 Hello Linus, Please comeback through the chat so we can take a look into this for you. ^NHP",I08,8,,,,,,
VZ-006,218739,Thu Oct 05 01:47:39 +0000 2017,I have Comcast for $39 per month. Was looking at Fios internet for $39 for first year. What is price after the first year? @115722,218737,Thu Oct 05 01:54:28 +0000 2017,@168162 We appreciate you interest. Pricing can vary for certain markets. Were you also planning on using your own router? ^JRA,I07,4,,,,,,
VZ-007,1831258,Wed Oct 18 05:25:04 +0000 2017,@117310 @115725 we want Univision back on Fios! Thousands rely on this channel for news. Come to an agreement and bring back the ⚽️,1831257,Wed Oct 18 05:27:24 +0000 2017,@549490 We are working on it. You can check at https://t.co/AatMW6MCLu for updates regarding the matter. ^JRA,I04,3,,,,,,
VZ-008,1771023,Wed Nov 08 01:50:47 +0000 2017,@241809 @532384 @70596 @532385 https://t.co/wHCsWh1jlD same this is ridiculous @VerizonSupport,1771022,Wed Nov 08 02:02:00 +0000 2017,@160162 Were those test results over a wireless or hardwired connection? ^HSB,I11,2,,,,,,
VZ-009,526388,Sat Dec 02 07:03:16 +0000 2017,I have never had such a bad experience with a carrier during my initial sign up @115725 @VerizonSupport has the most HORRIBLE customer service i have EVER encountered .,526387,Sat Dec 02 07:05:27 +0000 2017,"@241807 Hi Bran, is this for Verizon Wireless or Fios? ^FEM",I11,2,,,,,,
VZ-010,1303994,Fri Oct 27 01:26:57 +0000 2017,@115722 can you please tell me why I keep on disconnecting from my router I thought your server was the best internet in the world?!?!?,1303989,Fri Oct 27 01:29:28 +0000 2017,@424708 Our apologies as we want you connected. Is this happening over a wired or wireless connection? ^JRA,I03,3,,,,,,
VZ-011,1112164,Sun Oct 15 10:47:51 +0000 2017,"@382476 @115722 Kinda like @247 They have a “flex” pack but it’s really just a smaller package of channels, many of which I wouldn’t ever watch.",1112162,Sun Oct 15 10:50:00 +0000 2017,"@128838 Hello. We also have Custom TV, which gives you more of the channels you only watch. ^TXA",I04,6,,,,,,
VZ-012,1365256,Fri Oct 27 21:22:36 +0000 2017,Everyday from 5pm to 630pm @115725 service just goes to shit in Boston.,1365254,Fri Oct 27 21:24:32 +0000 2017,@437858 Is this for your Verizon residential or Verizon wireless mobile? ^ADP,I12,0,,,,,,
VZ-013,1675073,Mon Nov 06 14:02:25 +0000 2017,@VerizonSupport your cust. Ser. Has gotten ridiculous in the last year. Hold time of 20-30 mins. I wait... I specially said...,1675074,Mon Nov 06 14:05:30 +0000 2017,@193083 We hate to hear that you're having a bad experience. What has you calling in today? ^BCW,I11,2,,,,,,
VZ-014,2163287,Thu Oct 19 11:28:54 +0000 2017,@VerizonSupport WTH is going on with ur service? My daughter has been w/o mobile service for 4 days now? Not cool 4 a college student.,2163286,Thu Oct 19 11:32:30 +0000 2017,@635137 Please contact our friends @115990 for assistance with Verizon Mobile service. ^TXA,I05,3,,,,,,
VZ-015,1315165,Fri Oct 27 07:23:11 +0000 2017,FUCK YOU @115725 seriously. https://t.co/orwEsOgdRI,1315164,Fri Oct 27 07:27:28 +0000 2017,@427257 Please contact our friends @115990 for assistance with Verizon Mobile service. ^TXA,I12,0,,,,,,
VZ-016,2642748,Tue Oct 31 02:11:30 +0000 2017,@VerizonSupport No just the on demand,2642750,Tue Oct 31 02:15:00 +0000 2017,@587603 Could you do me a favor and reboot the router and then that box please? ^RMD,I12,0,,,,,,
VZ-017,2521058,Sun Nov 26 19:48:16 +0000 2017,we pay $200 a month for cable and Bein sports isn’t even HD. @115900 is straight trash. i’m going back to verizon,2521057,Sun Nov 26 19:50:53 +0000 2017,"@718065 We'd love to have you, Jacob. Let us know how we can help with that switch. ^BCW",I04,3,,,,,,
VZ-018,2736981,Mon Nov 20 20:01:50 +0000 2017,"@105357 representative Eric Brown messed up my order for @115722, leaves me hanging on incorrect bill for months, now says he can't fix it. Fraudulent sales rep! Seriously avoid if you don't want to lose your money.",2736980,Mon Nov 20 20:05:27 +0000 2017,@766942 That's terrible. Is the agent working working to correct your account? ^CAR,I10,10,,,,,,
VZ-019,2121400,Wed Nov 08 14:47:29 +0000 2017,@VerizonSupport 4G LTE extender still not working. Talked with support for an hour last night but no response yet after a ticket was supposed to be created...,2121399,Wed Nov 08 14:50:31 +0000 2017,@625021 Let's bring in our team with @115990 so they can help with this extender. ^BCW,I05,3,,,,,,
VZ-020,2870888,Tue Nov 28 03:06:05 +0000 2017,"@VerizonSupport It's to everything and at random times. It can last for a couple of hours or a couple of days. Right now it seems to have subsided from where it was when I initially tweeted, so doing a tracert isn't showing anything unusual. Ping shows some random delay getting to Google https://t.co/JV04H9IYBZ",2870890,Tue Nov 28 03:13:00 +0000 2017,@797160 A tracert will allow us to narrow down the issue. ^JAY,I04,3,,,,,,
VZ-021,999730,Sun Oct 22 17:14:29 +0000 2017,@VerizonSupport Same problem with service and now to lose a day of work so I can wait for a technician to come back for the same problem.,999732,Sun Oct 22 17:17:31 +0000 2017,@356715 Did we already schedule a return visit? ^TNT,I08,8,,,,,,
VZ-022,1219004,Mon Oct 16 03:44:04 +0000 2017,@406010 @VerizonSupport Back down again here too #verizonoutage,1219005,Mon Oct 16 03:51:31 +0000 2017,@406009 Oh No! Did the lights change on the router? ^HSB,I01,4,,,,,,
VZ-023,803694,Thu Oct 12 16:46:05 +0000 2017,Having to pay to restore my account plan back to what it was pre-fraud from August. Thanks @115725 😡😡😡,803692,Thu Oct 12 16:51:31 +0000 2017,"@311535 Oh no, let us look into it for you. is it for your cellular or residential account? ^TNT",I10,5,,,,,,
VZ-024,268984,Fri Oct 06 00:49:05 +0000 2017,@VerizonSupport are you have fios mobile and/or login issues. https://t.co/08sXeTpV9x on computer doesn’t fully work and fios mobile apps,268983,Fri Oct 06 00:54:00 +0000 2017,@180132 Our apologies as we have gotten reports and the issue is being investigated. ^JRA,I06,12,,,,,,
VZ-025,1555526,Sun Nov 26 03:23:26 +0000 2017,@115722 So I can’t watch this TV show on my TV?,1555525,Sun Nov 26 03:24:53 +0000 2017,@481026 If they do not have it up On Demand at this time you would not be able to view it on the TV. ^FEM,I04,6,,,,,,
VZ-026,724743,Wed Oct 11 04:11:56 +0000 2017,"@VerizonSupport So I just retightened it, and now the pixelated channel changed! Also, don't have another TV.",724741,Wed Oct 11 04:13:56 +0000 2017,@293506 Are all the channels clear now? ^NHP,I04,6,,,,,,
VZ-027,2421285,Tue Nov 14 17:36:43 +0000 2017,"The extra shit @115725 is trying to sell right now is ridiculous. Caller ID? What is this 1990? Voicemail to text? You know our phones already do that, right?",2421284,Tue Nov 14 17:40:27 +0000 2017,@482028 Is this for your Verizon residential or Verizon wireless mobile? ^ADP,I05,9,,,,,,
VZ-028,590266,Sun Dec 03 16:55:29 +0000 2017,@115722 why does my Olympic Channel keep breaking up? Signed Waiting for the downhill splits,590264,Sun Dec 03 16:58:25 +0000 2017,@259593 That's odd. Do you mean the picture is tiling? ^CAR,I04,3,,,,,,
VZ-029,2451300,Wed Nov 15 03:45:52 +0000 2017,@VerizonSupport I️ do not have time to tweet all night. Two nights in a row. You are very quick to take my money and send a person out for install. Stand by your advertising of great service.,2451435,Wed Nov 15 03:49:28 +0000 2017,@702451 We are here to assist. What issue have you been experiencing that requires a tech visit? ^JRA,I08,4,,,,,,
VZ-030,2077467,Mon Oct 09 13:11:23 +0000 2017,"@VerizonSupport so many problems with FIOS TV. viz: when a program scheduled for DVR is delayed, the desired recording is not made.",2077465,Mon Oct 09 13:18:26 +0000 2017,"@304354 We do apologize. If a program is delayed by the broadcaster, the recording is set for a window of time not by the program name. ^TDC",I08,8,,,,,,
VZ-031,2707423,Sun Nov 19 23:58:30 +0000 2017,@VerizonSupport - are you having an outage? All my services are down and I've been on hold for a while waiting to speak with someone.,2707421,Mon Nov 20 00:09:32 +0000 2017,@760313 Sorry to hear about the trouble. With all services being impacted do you know where the BBU is located so we can verify power to it? It can be located in a garage or basement and look like 1 of the 2 units. ^JRA https://t.co/eNlhW7JNBO,I01,4,,,,,,
VZ-032,2050853,Thu Oct 05 19:38:12 +0000 2017,@115858 @VerizonSupport Why am I getting such awful speeds with Unlimited Beyond Plan in zipcode 27616? AT&amp;T was exponentially better. Help! https://t.co/bu9hs8Qota,2050851,Thu Oct 05 19:41:29 +0000 2017,@82440 We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They can look into this for you. ^HSB,I02,3,,,,,,
VZ-033,360915,Sun Oct 08 17:01:07 +0000 2017,"@VerizonSupport My NFL Redzone = not working. Using WMC with cable card. Msg = ""service unavailable signal not detected."" other chnnls wrk",360914,Sun Oct 08 17:03:00 +0000 2017,@201451 Are you attempting to view it on your TV using the cable card? ^TNT,I04,3,,,,,,
VZ-034,1102472,Mon Oct 23 23:25:36 +0000 2017,@VerizonSupport Waiting for an hour on the phone to order Verizon Fios. Do you guys not like making money. I waited on the phone for 3 mins with @116136,1102474,Mon Oct 23 23:33:00 +0000 2017,@311378 We understand the frustration we are receiving higher than normal calls and chats right now. Please be patient with us. ^JAY,I05,3,,,,,,
VZ-035,2588020,Mon Oct 30 18:43:40 +0000 2017,"@VerizonSupport No orders have been placed, it's a family account. Wanting to ensure it's not fraud.",2588021,Mon Oct 30 18:46:00 +0000 2017,@733244 Is this for your cellular account? ^CAR,I10,5,,,,,,
VZ-036,1011994,Sun Oct 22 17:53:34 +0000 2017,"@VerizonSupport It almost feels like an account provisioning issue, but I don’t recall making any changes to the channel lineup recently.",1011992,Sun Oct 22 17:57:27 +0000 2017,@359452 That error message is associated to a signal issue. ^CAR,I07,4,,,,,,
VZ-037,408642,Mon Oct 09 22:40:26 +0000 2017,"@VerizonSupport blocked, the voicemail icon appears when device never rang every 90 minutes or so",408641,Mon Oct 09 22:44:04 +0000 2017,@212416 Could you follow and DM us the number that is calling you please. ^RMD,I09,5,,,,,,
VZ-038,1218794,Wed Oct 25 14:37:04 +0000 2017,@VerizonSupport Please contact me. My landline isn’t working AGAIN and claims service is interrupted AGAIN,1218792,Wed Oct 25 14:38:46 +0000 2017,@405965 Do you have Fios or Copper phone with us? ^DDG,I09,5,,,,,,
VZ-039,1145589,Tue Oct 24 13:42:52 +0000 2017,Can't wait to cancel my @115722. This is the right choice. https://t.co/eIJnhuRvIc,1145588,Tue Oct 24 13:44:03 +0000 2017,@389627 We would hate to see you go. What has you wanting to leave us? ^BCW,I11,2,,,,,,
VZ-040,2782314,Tue Nov 21 17:35:16 +0000 2017,@VerizonSupport I have been having issues with Verizon since August! way too much to type please find me in your system and have someone call me on my cell which is listed!,2782316,Tue Nov 21 17:39:00 +0000 2017,@776989 We can help! Please follow and DM so we can continue. ^DDG,I05,3,,,,,,
VZ-041,315823,Thu Oct 19 15:29:17 +0000 2017,"@VerizonSupport When we get @115722 in the 20036 zip for businesses? Mobile, home, work customer, but need faster speed!",315821,Thu Oct 19 15:33:34 +0000 2017,@191404 Help is here! Use this link to check if fios is available in your area. ^DDG https://t.co/d64xVH192e,I05,3,,,,,,
VZ-042,2247677,Fri Nov 10 19:29:56 +0000 2017,@VerizonSupport All three of these and 1-800-Verizon. All closed https://t.co/jp0Y8bqBQt,2247675,Fri Nov 10 19:33:29 +0000 2017,@654994 Try 1-800-599-0193. Let us know if you get through. ^KMG,I12,0,,,,,,
VZ-043,1115647,Sun Oct 15 12:02:57 +0000 2017,@VerizonSupport Yes. I have a question about buying the right router for my internet. New customer. I want to buy my own router.,1115649,Sun Oct 15 12:06:00 +0000 2017,@141424 What questions do you have? We can answer your questions be we do not recommend equipment . ^TDC,I03,3,,,,,,
VZ-044,1551222,Sat Nov 04 01:58:13 +0000 2017,"hey @VerizonSupport , i've got internet speeds way below what I pay for and your ""optimizer"" only works on Windows? what the fuck gives?",1551221,Sat Nov 04 03:24:50 +0000 2017,@480022 Apple has a broad band tuner. Are you having speed issues over wired or wireless connections? ^JRA,I02,3,,,,,,
VZ-045,2362481,Mon Nov 13 21:11:41 +0000 2017,@VerizonSupport I’ve been through this already. I’d like to speak with a representative over the phone to schedule an appointment. I️ know what the issue -,2362480,Mon Nov 13 21:18:51 +0000 2017,@682145 In order to speak to someone over the phone you would need to call in. ^JAY,I08,8,,,,,,
VZ-046,1017862,Sun Oct 22 21:53:43 +0000 2017,@VerizonSupport Back to @116602 losers,1017865,Sun Oct 22 21:56:30 +0000 2017,@360830 Some movies are not available for rent with points but many are. ^RMD,I12,0,,,,,,
VZ-047,1210235,Sun Oct 15 22:50:11 +0000 2017,"@115722 In New Jersey, trying to watch ""White Men Can't Jump"" on @51309 and the signal keeps lagging. 🤔Help! #ruiningSunday",1210233,Sun Oct 15 22:51:44 +0000 2017,@404094 Happening n all TV's? Any other channels? ^RMD,I02,3,,,,,,
VZ-048,1032126,Mon Oct 23 05:10:13 +0000 2017,@VerizonSupport wired speedtests are great. But as soon as I load up @15542 or @75982 and try to stream to @119038 all frames drop. #throttled,1032124,Mon Oct 23 05:11:52 +0000 2017,@364222 What indication do you have of dropped packets? Do you have traceroutes? ^BAB,I02,3,,,,,,
VZ-049,747113,Wed Oct 11 18:08:58 +0000 2017,@VerizonSupport Again...I've NEVER lived in NJ but I'm told that I owe 1448 dollars for a land line there! How does THAT work! I've NEVER been to Trenton,747115,Wed Oct 11 18:11:58 +0000 2017,@298609 You would need to reach out to our Financial Services team at 1-888-780-3962 . ^BCW,I09,5,,,,,,
VZ-050,1020404,Sat Nov 25 17:30:04 +0000 2017,@VerizonSupport Verizon wireless mobile,1020403,Sat Nov 25 17:32:32 +0000 2017,@361459 We will let @115990 know you need help. ^KMG,I05,6,,,,,,
VZ-051,2697705,Sun Nov 19 19:01:33 +0000 2017,"@115725 If you dismiss a card in the My Verizon app, how do you get it back? One got dismissed that was not the one I was actually swiping away. Then when I tapped “Undo,” it went to something else, and when I immediately went back to the main feed screen, “Undo” was gone.",2697704,Sun Nov 19 19:02:54 +0000 2017,@758001 Is this for your Verizon residential or Verizon wireless mobile? ^ADP,I07,4,,,,,,
VZ-052,253220,Thu Oct 05 17:34:02 +0000 2017,How does one successfully turn off their @115725 account? There is no option online and their sales folks just keep you on hold.,253219,Thu Oct 05 17:35:29 +0000 2017,@176197 Is there anything we can do to change your mind? ^TNT,I11,2,,,,,,
VZ-053,1947767,Mon Oct 30 12:54:17 +0000 2017,@115722 is there a outage effecting northern va and dc?,1947764,Mon Oct 30 12:56:25 +0000 2017,"@578758 None that we're aware of, Jason. What seems to be going on that has you asking that? ^BCW",I01,4,,,,,,
VZ-054,250358,Thu Oct 05 17:13:55 +0000 2017,@VerizonSupport to wait on a tech and pay a fee when all the wires and equipment for installation is here and I'm a certified pcst (4/8),250364,Thu Oct 05 17:19:00 +0000 2017,@175506 We understand your concern but some equipment may have to be upgraded depending on your request. ^TDC,I08,12,,,,,,
VZ-055,432584,Tue Oct 10 15:49:34 +0000 2017,@VerizonSupport i have tried to do a chat and find out what is going on with my bill and no one is available.,432586,Tue Oct 10 16:02:00 +0000 2017,@217888 We can help you here. What questions do you have with your bill? Please follow and DM us so we can further assist. ^ADP,I07,4,,,,,,
VZ-056,2865733,Tue Nov 28 00:25:25 +0000 2017,@VerizonSupport Been on hold on a Verizon Store using your locations phone. What's the excuse? https://t.co/KF9G3MVMdg,2865731,Tue Nov 28 00:26:57 +0000 2017,@676924 Are you having a Fios or Wireless (mobile) issue? We'd like to assist. ^DDD,I05,3,,,,,,
VZ-057,1148475,Tue Oct 24 14:16:17 +0000 2017,@VerizonSupport I would like to turn off my voicemail feature. Is there any way I can do this w/out calling?,1148474,Tue Oct 24 14:19:29 +0000 2017,@390274 Do you have digital voice or copper for phone service? ^CAR,I09,5,,,,,,
VZ-058,224522,Thu Oct 05 05:56:55 +0000 2017,"@VerizonSupport Unfortunately,the app is now giving me red circle swirling. Then plays then does the swirling again,hard to watch something that keeps that",224528,Thu Oct 05 05:59:00 +0000 2017,"@169645 This is very odd, are you able to access the same episode from the Fios Mobile app on your phone? ^JRA",I06,4,,,,,,
VZ-059,1851043,Wed Oct 18 22:45:53 +0000 2017,@VerizonSupport Been on hold for 57 minutes. If someone could answer it would be helpful. https://t.co/5CVXM5wOBV,1851041,Wed Oct 18 22:50:36 +0000 2017,@554086 We can help with this! Please follow &amp; DM so we can continue. Also delete the public tweet with your account info for security purposes.^DDG,I11,2,,,,,,
VZ-060,269335,Fri Oct 06 00:58:47 +0000 2017,@VerizonSupport is the fios mobile app down or is widespread outage causing issue with it.,269334,Fri Oct 06 01:00:25 +0000 2017,@180235 Our apologies as we have gotten multiple reports. We appreciate your patience in the matter while we investigate. ^JRA,I06,8,,,,,,
VZ-061,48468,Sat Nov 11 05:35:15 +0000 2017,@VerizonSupport This has been ongoing since April and it is unacceptable.,48467,Sat Nov 11 05:39:00 +0000 2017,@126791 We really don't want you to feel that way. ^NHP,I11,2,,,,,,
VZ-062,2979040,Thu Nov 30 03:55:59 +0000 2017,@VerizonSupport Why am I missing text messages? Happening for a week now,2979039,Thu Nov 30 03:58:00 +0000 2017,@821614 We will have to refer this to our wireless counterparts @115990 for all your mobile concerns. ^JRA,I06,4,,,,,,
VZ-063,970478,Sat Oct 14 05:43:55 +0000 2017,"@115725 Yes. I have been also experiencing very slow upload and download speeds, but that seems to be normal for you guys",970476,Sat Oct 14 05:47:28 +0000 2017,@350298 We want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA,I02,3,,,,,,
VZ-064,1705930,Mon Nov 06 22:32:04 +0000 2017,@VerizonSupport @115722 #verizonoutage Your service yesterday &amp; today have been dismal in NJ. When will it b restored? Reimbursment?,1705928,Mon Nov 06 22:34:31 +0000 2017,"@517028 Good evening, is there an outage still listing in your area? ^RMD",I01,4,,,,,,
VZ-065,748059,Wed Oct 11 17:05:50 +0000 2017,@VerizonSupport i pay you and it seems you forget you're an ISP. my speeds are treacherously slow need to reset reg. contact me or i'm DONE,748057,Wed Oct 11 17:10:00 +0000 2017,@298821 Help is here. Please run a test at https://t.co/yMMRB4VWSM and post the results. ^KMG,I02,3,,,,,,
VZ-066,508406,Fri Dec 01 22:08:43 +0000 2017,"@115722 After 7 calls to you since August due to an error on your end attempting to charge me $25 more than I signed a contract for, I've been promised 2 callbacks and a $50 credit. Apparently being a loyal customer means nothing.",508405,Fri Dec 01 22:11:01 +0000 2017,"@236750 We are here to help, please follow and DM us. ^ACM",I07,8,,,,,,
VZ-067,2330238,Fri Oct 20 00:59:18 +0000 2017,"@VerizonSupport Yes, it's next to the router.",2330240,Fri Oct 20 01:07:00 +0000 2017,"@674666 Great, if you have the white unit hold down the alarm silence button for 20 secs. The black unit will have a reset button. ^JRA",I03,3,,,,,,
