case_id,customer_text,gold_intent,predicted_intent,intent_correct,should_escalate,escalation_reason,reply,historical_customer,historical_reply,similarity,response_type,evidence_selected,internal_leakage,artifact_leakage
VZ-001,@VerizonSupport That didn’t work. Tried both My Fios and Fios Mobile apps.,I06,I06,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Can you uninstall and reinstall the App?,@VerizonSupport That didn’t work. Tried both My Fios and Fios Mobile apps.,"@723269 Can you uninstall and reinstall the App? 
^TDC",1.0,clarification,True,False,False
VZ-002,"@115722 any updates about the outage in Cliffside Park, NJ? Going on 12 hours with no service.",I01,I01,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","@115722 any updates about the outage in Cliffside Park, NJ?  Going on 12 hours with no service.","@320016 Let us look into it for you. Please DM us the details.
^TNT",1.0000000000000002,escalation,True,True,False
VZ-003,@VerizonSupport Not really. And my settings weren't an issue before. Nothing has changed except my download speed.,I02,I02,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,We were asking because the next step in troubleshooting would be to factory reset the router. If any settings in the router have been changed they will default back to the information on the sticker. Can you please factory reset the router?,@VerizonSupport Not really. And my settings weren't an issue before. Nothing has changed except my download speed.,"@771620 We were asking because the next step in troubleshooting would be to factory reset the router. If any settings in the router have been changed they will default back to the information on the sticker. Can you please factory reset the router?
^HSB https://t.co/r6xRxLwpyN",1.0000000000000002,clarification,True,False,False
VZ-004,@VerizonSupport Cellular. I’ve opened a fraud case however it takes too long to reach a person and your service reps are rude. Very long process to address something I️ didn’t do.,I10,I10,True,True,Account fraud or unauthorized activity requires human review.,"Thanks for flagging this. Because this involves potential unauthorized activity, a human support agent should review the account securely.",@VerizonSupport Cellular.  I’ve opened a fraud case however it takes too long to reach a person and your service reps are rude.  Very long process to address something I️ didn’t do.,"@793386 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns.
^TDC",1.0,unknown,True,False,False
VZ-005,@VerizonSupport I cancelled my contract a month ago when I moved; why am I still being billed? Why do I have an appt for installation? Why did your agent hang up on me?,I07,I08,False,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.",,,0.0,,False,False,False
VZ-006,I have Comcast for $39 per month. Was looking at Fios internet for $39 for first year. What is price after the first year? @115722,I12,I07,False,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.",I have Comcast for $39 per month. Was looking at Fios internet for $39 for first year. What is price after the first year? @115722,@168162 We appreciate you interest. Pricing can vary for certain markets. Were you also planning on using your own router? ^JRA,1.0,clarification,True,False,False
VZ-007,@117310 @115725 we want Univision back on Fios! Thousands rely on this channel for news. Come to an agreement and bring back the ⚽️,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,We are working on it. You can check at for updates regarding the matter.,@117310 @115725 we want Univision back on Fios! Thousands rely on this channel for news. Come to an agreement and bring back the ⚽️,@549490 We are working on it. You can check at https://t.co/AatMW6MCLu for updates regarding the matter.  ^JRA,1.0000000000000002,troubleshooting,True,False,True
VZ-008,@241809 @532384 @70596 @532385 https://t.co/wHCsWh1jlD same this is ridiculous @VerizonSupport,I12,I11,False,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,@241809 @532384 @70596 @532385 https://t.co/wHCsWh1jlD same this is ridiculous @VerizonSupport,"@160162 Were those test results over a wireless or hardwired connection?
^HSB",1.0,clarification,True,False,False
VZ-009,I have never had such a bad experience with a carrier during my initial sign up @115725 @VerizonSupport has the most HORRIBLE customer service i have EVER encountered .,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,I have never had such a bad experience with a carrier during my initial sign up @115725 @VerizonSupport has the most HORRIBLE customer service i have EVER encountered .,"@241807 Hi Bran, is this for Verizon Wireless or Fios?
^FEM",1.0,clarification,True,False,False
VZ-010,@115722 can you please tell me why I keep on disconnecting from my router I thought your server was the best internet in the world?!?!?,I02,I02,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Our apologies as we want you connected. Is this happening over a wired or wireless connection?,@115722 can you please tell me why I keep on disconnecting from my router I thought your server was the best internet in the world?!?!?,@424708 Our apologies as we want you connected. Is this happening over a wired or wireless connection? ^JRA,1.0,clarification,True,False,False
