case_id                                                                                                                                                                                                                                                                                                            customer_text prelabel_intent                                                                                                                                                                                                                                                              historical_verizon_reply
 VZ-001                                                                                                                                                                                                                                               @VerizonSupport That didn’t work. Tried both My Fios and Fios Mobile apps.             I06                                                                                                                                                                                                                                 @723269 Can you uninstall and reinstall the App? ^TDC
 VZ-002                                                                                                                                                                                                                           @115722 any updates about the outage in Cliffside Park, NJ? Going on 12 hours with no service.             I01                                                                                                                                                                                                                   @320016 Let us look into it for you. Please DM us the details. ^TNT
 VZ-003                                                                                                                                                                                                       @VerizonSupport Not really. And my settings weren't an issue before. Nothing has changed except my download speed.             I02 @771620 We were asking because the next step in troubleshooting would be to factory reset the router. If any settings in the router have been changed they will default back to the information on the sticker. Can you please factory reset the router? ^HSB https://t.co/r6xRxLwpyN
 VZ-004                                                                                                                                      @VerizonSupport Cellular. I’ve opened a fraud case however it takes too long to reach a person and your service reps are rude. Very long process to address something I️ didn’t do.             I10                                                                                                                                                                        @793386 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns. ^TDC
 VZ-005                                                                                                                                                 @VerizonSupport I cancelled my contract a month ago when I moved; why am I still being billed? Why do I have an appt for installation? Why did your agent hang up on me?             I08                                                                                                                                                                                   @702499 Hello Linus, Please comeback through the chat so we can take a look into this for you. ^NHP
 VZ-006                                                                                                                                                                                       I have Comcast for $39 per month. Was looking at Fios internet for $39 for first year. What is price after the first year? @115722             I07                                                                                                                                                       @168162 We appreciate you interest. Pricing can vary for certain markets. Were you also planning on using your own router? ^JRA
 VZ-007                                                                                                                                                                                      @117310 @115725 we want Univision back on Fios! Thousands rely on this channel for news. Come to an agreement and bring back the ⚽️             I04                                                                                                                                                                         @549490 We are working on it. You can check at https://t.co/AatMW6MCLu for updates regarding the matter. ^JRA
 VZ-008                                                                                                                                                                                                                           @241809 @532384 @70596 @532385 https://t.co/wHCsWh1jlD same this is ridiculous @VerizonSupport             I11                                                                                                                                                                                                         @160162 Were those test results over a wireless or hardwired connection? ^HSB
 VZ-009                                                                                                                                                 I have never had such a bad experience with a carrier during my initial sign up @115725 @VerizonSupport has the most HORRIBLE customer service i have EVER encountered .             I11                                                                                                                                                                                                                           @241807 Hi Bran, is this for Verizon Wireless or Fios? ^FEM
 VZ-010                                                                                                                                                                                  @115722 can you please tell me why I keep on disconnecting from my router I thought your server was the best internet in the world?!?!?             I03                                                                                                                                                                           @424708 Our apologies as we want you connected. Is this happening over a wired or wireless connection? ^JRA
 VZ-011                                                                                                                                                                         @382476 @115722 Kinda like @247 They have a “flex” pack but it’s really just a smaller package of channels, many of which I wouldn’t ever watch.             I04                                                                                                                                                                                      @128838 Hello. We also have Custom TV, which gives you more of the channels you only watch. ^TXA
 VZ-012                                                                                                                                                                                                                                                  Everyday from 5pm to 630pm @115725 service just goes to shit in Boston.             I12                                                                                                                                                                                                         @437858 Is this for your Verizon residential or Verizon wireless mobile? ^ADP
 VZ-013                                                                                                                                                                                           @VerizonSupport your cust. Ser. Has gotten ridiculous in the last year. Hold time of 20-30 mins. I wait... I specially said...             I11                                                                                                                                                                                      @193083 We hate to hear that you're having a bad experience. What has you calling in today? ^BCW
 VZ-014                                                                                                                                                                                   @VerizonSupport WTH is going on with ur service? My daughter has been w/o mobile service for 4 days now? Not cool 4 a college student.             I05                                                                                                                                                                                           @635137 Please contact our friends @115990 for assistance with Verizon Mobile service. ^TXA
 VZ-015                                                                                                                                                                                                                                                                      FUCK YOU @115725 seriously. https://t.co/orwEsOgdRI             I12                                                                                                                                                                                           @427257 Please contact our friends @115990 for assistance with Verizon Mobile service. ^TXA
 VZ-016                                                                                                                                                                                                                                                                                    @VerizonSupport No just the on demand             I12                                                                                                                                                                                                  @587603 Could you do me a favor and reboot the router and then that box please? ^RMD
 VZ-017                                                                                                                                                                                                        we pay $200 a month for cable and Bein sports isn’t even HD. @115900 is straight trash. i’m going back to verizon             I04                                                                                                                                                                                              @718065 We'd love to have you, Jacob. Let us know how we can help with that switch. ^BCW
 VZ-018                                                                                                  @105357 representative Eric Brown messed up my order for @115722, leaves me hanging on incorrect bill for months, now says he can't fix it. Fraudulent sales rep! Seriously avoid if you don't want to lose your money.             I10                                                                                                                                                                                                   @766942 That's terrible. Is the agent working working to correct your account? ^CAR
 VZ-019                                                                                                                                                           @VerizonSupport 4G LTE extender still not working. Talked with support for an hour last night but no response yet after a ticket was supposed to be created...             I05                                                                                                                                                                                                @625021 Let's bring in our team with @115990 so they can help with this extender. ^BCW
 VZ-020 @VerizonSupport It's to everything and at random times. It can last for a couple of hours or a couple of days. Right now it seems to have subsided from where it was when I initially tweeted, so doing a tracert isn't showing anything unusual. Ping shows some random delay getting to Google https://t.co/JV04H9IYBZ             I04                                                                                                                                                                                                                        @797160 A tracert will allow us to narrow down the issue. ^JAY
 VZ-021                                                                                                                                                                                @VerizonSupport Same problem with service and now to lose a day of work so I can wait for a technician to come back for the same problem.             I08                                                                                                                                                                                                                                  @356715 Did we already schedule a return visit? ^TNT
 VZ-022                                                                                                                                                                                                                                                          @406010 @VerizonSupport Back down again here too #verizonoutage             I01                                                                                                                                                                                                                              @406009 Oh No! Did the lights change on the router? ^HSB
 VZ-023                                                                                                                                                                                                                   Having to pay to restore my account plan back to what it was pre-fraud from August. Thanks @115725 😡😡😡             I10                                                                                                                                                                                      @311535 Oh no, let us look into it for you. is it for your cellular or residential account? ^TNT
 VZ-024                                                                                                                                                                                @VerizonSupport are you have fios mobile and/or login issues. https://t.co/08sXeTpV9x on computer doesn’t fully work and fios mobile apps             I06                                                                                                                                                                                             @180132 Our apologies as we have gotten reports and the issue is being investigated. ^JRA
 VZ-025                                                                                                                                                                                                                                                                          @115722 So I can’t watch this TV show on my TV?             I04                                                                                                                                                                             @481026 If they do not have it up On Demand at this time you would not be able to view it on the TV. ^FEM
 VZ-026                                                                                                                                                                                                            @VerizonSupport So I just retightened it, and now the pixelated channel changed! Also, don't have another TV.             I04                                                                                                                                                                                                                                          @293506 Are all the channels clear now? ^NHP
 VZ-027                                                                                                                                                           The extra shit @115725 is trying to sell right now is ridiculous. Caller ID? What is this 1990? Voicemail to text? You know our phones already do that, right?             I05                                                                                                                                                                                                         @482028 Is this for your Verizon residential or Verizon wireless mobile? ^ADP
 VZ-028                                                                                                                                                                                                                             @115722 why does my Olympic Channel keep breaking up? Signed Waiting for the downhill splits             I04                                                                                                                                                                                                                           @259593 That's odd. Do you mean the picture is tiling? ^CAR
 VZ-029                                                                                                                          @VerizonSupport I️ do not have time to tweet all night. Two nights in a row. You are very quick to take my money and send a person out for install. Stand by your advertising of great service.             I08                                                                                                                                                                                 @702451 We are here to assist. What issue have you been experiencing that requires a tech visit? ^JRA
 VZ-030                                                                                                                                                                                      @VerizonSupport so many problems with FIOS TV. viz: when a program scheduled for DVR is delayed, the desired recording is not made.             I08                                                                                                                                          @304354 We do apologize. If a program is delayed by the broadcaster, the recording is set for a window of time not by the program name. ^TDC
 VZ-031                                                                                                                                                                                    @VerizonSupport - are you having an outage? All my services are down and I've been on hold for a while waiting to speak with someone.             I01                                   @760313 Sorry to hear about the trouble. With all services being impacted do you know where the BBU is located so we can verify power to it? It can be located in a garage or basement and look like 1 of the 2 units. ^JRA https://t.co/eNlhW7JNBO
 VZ-032                                                                                                                                                 @115858 @VerizonSupport Why am I getting such awful speeds with Unlimited Beyond Plan in zipcode 27616? AT&amp;T was exponentially better. Help! https://t.co/bu9hs8Qota             I02                                                                                                                                               @82440 We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They can look into this for you. ^HSB
