pilot_id,cluster,tweet_id,created_at,text,intent_label,label_confidence,notes
1,0,121331,Thu Nov 23 23:20:17 +0000 2017,"so we went from calling Verizon 2 nights ago about internet
service call made
last night tv froze called about... https://t.co/iTgZMIgtlg",,,
2,0,375483,Mon Oct 09 01:48:59 +0000 2017,@VerizonSupport Just fios internet,,,
3,0,201057,Wed Oct 04 05:30:07 +0000 2017,@VerizonSupport about 10 mins ago both mine and my friends internet went down. What is happening https://t.co/mHHd5U8Amq,,,
4,1,310944,Sat Oct 07 12:17:13 +0000 2017,@VerizonSupport Atlanta site or Verizon?! Why would I have to watch a show online instead so on my TV?!,,,
5,1,376969,Mon Oct 09 03:10:57 +0000 2017,"@VerizonSupport Trying to watch HBOGo and Comedy Central on Apple TV, everytime i try and log into an app using Verizon Fios credentials, the app says I don't have service.",,,
6,1,219773,Thu Oct 05 02:28:16 +0000 2017,"Hey @115722 I'd like to watch the NL wild card game. Totally unwatchable! Unhooked cable at box and wall, reconnected and no change. https://t.co/qtjihfU964",,,
7,2,121305,Thu Nov 23 23:35:16 +0000 2017,"@VerizonSupport @143012 Expanding? Buffalo, NY is still waiting on FIOS, even after Verizon was gifted dark fiber to bring it to Buffalo...",,,
8,2,453623,Thu Nov 30 22:26:03 +0000 2017,@VerizonSupport I'm taking Verizon to court!!!,,,
9,2,312930,Sat Oct 07 04:40:59 +0000 2017,Why @VerizonSupport @115725 ? If I didn’t log into my app I wouldn’t have known. I never got an email?!?! #verizon #cell #vzw #bill https://t.co/ua85TmoeEB,,,
10,3,394735,Mon Oct 09 18:00:55 +0000 2017,@VerizonSupport Which prevents me from using my bank account with VZ. I am beyond frustrated as this issue was created by a double charge from Verizon!,,,
11,3,62536,Thu Nov 23 02:55:01 +0000 2017,@VerizonSupport Currently no tv service.  Did a reset of the fios box.,,,
12,3,270220,Fri Oct 06 00:01:24 +0000 2017,"@VerizonSupport …and you’ve said it’s because we have ~6 devices using the network, but that doesn’t seem like it should be an issue either.",,,
13,4,188674,Wed Oct 04 12:47:34 +0000 2017,@VerizonSupport Yes and it was freezing. 😔,,,
14,4,125609,Fri Nov 24 02:17:25 +0000 2017,@VerizonSupport Yes that’s the first thing I did and I did it 16 times,,,
15,4,11823,Wed Nov 01 01:29:20 +0000 2017,"@VerizonSupport Yes, the SD feed is so blurry at times that it's hard to tell what's going on.",,,
16,5,326074,Sat Oct 07 16:44:51 +0000 2017,@VerizonSupport I appreciate the follow but I still need help.,,,
17,5,376967,Mon Oct 09 03:17:31 +0000 2017,@VerizonSupport Please help me too.,,,
18,5,80076,Thu Nov 30 12:57:23 +0000 2017,@115722 @127012  Can one of you PLEASE come to Madison WI. @Ask_Spectrum has us all over the ropes with high priced but poory functioning internet. We need help.,,,
19,6,270791,Fri Oct 06 01:30:23 +0000 2017,"@VerizonSupport live tv streaming never works, just keeps buffering.",,,
20,6,51618,Sat Dec 02 18:13:10 +0000 2017,@VerizonSupport Thank you for the update! I'm relieved to know it's just a glitch. Was nervous there for a while.,,,
21,6,48425,Sat Nov 11 05:57:56 +0000 2017,"@VerizonSupport Yes, and at the time it occurs, it appears to be hanging at Verizon servers. Usually however, when it occurs, it just hangs for a while and then suddenly starts working, almost as though the connection is being reset.",,,
22,7,410872,Mon Oct 09 23:58:05 +0000 2017,@VerizonSupport I was told I was getting a new phone sent to me. That was a broken promise and a lie.,,,
23,7,218764,Thu Oct 05 01:27:20 +0000 2017,@168168 @115722 Just one cell phone wifi.,,,
24,7,104552,Thu Nov 30 17:55:57 +0000 2017,"@115725 Haven't had a working phone since 11/14. Replacement was ""damaged"" in transit. New replacement was never ordered due to ""our mistake."" Why didn't someone unbox and hand him a phone? Unacceptable customer service.",,,
25,8,410874,Mon Oct 09 23:47:44 +0000 2017,@115725 The worst customer service I have ever seen. Nothing but broken promises and more lies. Thank you Verizon,,,
26,8,159741,Fri Nov 10 10:42:39 +0000 2017,"@115722 for all the money that #VerizonFios is charging in NYC you would at least think they wouldn't be ignorant, dissrespectful, super poor customer service losers! #Optimum is paying Verizon contract fees &amp; I promise you I'm going with it.",,,
27,8,393254,Mon Oct 09 16:49:59 +0000 2017,1 hour. On hold. @115725 and @VerizonSupport must think this is the way to provide customer service. #verizonsucks,,,
28,9,363931,Sun Oct 08 18:57:46 +0000 2017,@115722 im canceling this week. Internet=crap.  Router restarts when it wants too.  Router is a replacement i got from you months ago.,,,
29,9,17864,Fri Dec 01 00:35:20 +0000 2017,"@115722 Wow... Maybe you should reboot the router again! Wheeeeee! SCRIPTS! Just put me back on hold while you transfer me to technical support... It's they don't pick up after 40 minutes on hold, the old router gets hooked back up. You know, the one that worked?",,,
30,9,125632,Thu Nov 23 04:02:37 +0000 2017,@115722 Why do I feel like every few days I have to reset the router!,,,
31,10,412098,Tue Oct 10 00:57:18 +0000 2017,@VerizonSupport ...which proves @115722 is purposely buffering the web streaming on mac. So thanks @115722 good job👎🏼,,,
32,10,216947,Wed Oct 04 22:05:18 +0000 2017,"@VerizonSupport I know of others in my area are having problems.  And I don't have time to troubleshoot, unless I can charge you an hourly rate for my work.",,,
33,10,177484,Sat Nov 25 01:58:32 +0000 2017,@VerizonSupport What do you mean by wired?,,,
34,11,183107,Sat Nov 25 01:10:35 +0000 2017,@VerizonSupport outage in north jersey ?,,,
35,11,412092,Tue Oct 10 00:28:32 +0000 2017,"Hourlong wait? Hey, @115722 please fix our TV picture quality",,,
36,11,349046,Tue Sep 26 02:14:20 +0000 2017,"Hey, @VerizonSupport, figured out what Error 7613 is in your crappy mobile app yet?

Hah. Of COURSE you haven't, you bunch of jackoffs.",,,
