case_id,relevance,helpfulness,grounding,non_hallucination,tone,overall_acceptable,escalation_appropriate,reason
VZ-001,5.0,4.0,5.0,5.0,4.0,YES,YES,The system provides a relevant standard troubleshooting step that directly aligns with the retrieved historical evidence and is appropriate for the customer's issue.
VZ-002,2.0,1.0,5.0,5.0,2.0,NO,NO,"The system generated an internal meta-response explaining its inability to find a fix rather than addressing the customer's outage inquiry or requesting a DM. Additionally, the system set the escalation decision to False despite the generated message explicitly stating that a support agent should review the issue."
VZ-003,5.0,5.0,5.0,5.0,4.0,YES,YES,"The reply directly addresses the customer's response regarding router settings, explains why the previous question was asked, and provides a clear next troubleshooting step. It is fully grounded in historical evidence and does not require human escalation."
VZ-007,5.0,2.0,5.0,5.0,3.0,NO,YES,"The generated reply drops the URL from the template ('check at for updates'), creating broken grammar and omitting the resource the customer needs to check for updates."
VZ-010,5.0,5.0,5.0,5.0,5.0,YES,YES,"The system reply directly addresses the customer's connection issue with an empathetic tone, asks a necessary clarifying troubleshooting question, and is fully grounded in the retrieved historical support evidence."
VZ-011,2.0,1.0,3.0,4.0,2.0,NO,NO,"The generated reply outputs an internal system fallback/meta-message to the customer instead of addressing their comment about TV packages, despite the historical reply offering a clear answer (Custom TV)."
VZ-014,,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
VZ-016,5.0,5.0,5.0,5.0,4.0,YES,YES,The response directly addresses the On Demand issue with standard initial troubleshooting steps (rebooting the router and cable box) fully supported by the historical support reply.
VZ-017,2.0,2.0,5.0,5.0,3.0,NO,NO,"The system generated a meta-response referring to a 'historical case' that is unsuitable for a customer-facing message. Additionally, the system set escalation to False while the text explicitly states a human agent should review the issue."
VZ-019,2.0,1.0,5.0,5.0,3.0,NO,NO,"The system reply exposes internal RAG fallback reasoning to the customer instead of providing support. Furthermore, the system decided not to escalate (False) despite the text stating an agent should review the issue."
VZ-004,5.0,4.0,5.0,5.0,4.0,YES,YES,The response acknowledges the customer's fraud issue and appropriately escalates the situation to a human representative for secure handling.
VZ-005,3.0,3.0,5.0,5.0,4.0,YES,YES,"The customer raised multiple account-specific issues (cancellation, billing, installation appointment, agent disconnect). The system correctly escalated to a human support agent, though the response only explicitly mentioned the installation aspect."
VZ-006,2.0,2.0,3.0,4.0,4.0,NO,NO,"The customer is asking a general sales question about post-promotional pricing for a new plan, not reporting an account-specific billing issue. Escalating for account verification is unnecessary and fails to answer the inquiry."
VZ-008,5.0,4.0,5.0,5.0,5.0,YES,YES,The system appropriately acknowledges the customer's frustration and escalates the issue to a human agent for direct assistance.
VZ-009,5.0,4.0,5.0,5.0,5.0,YES,YES,The customer is expressing extreme dissatisfaction with their initial sign-up process. Escalating to a human support agent while empathetically acknowledging their frustration is appropriate.
VZ-012,3.0,3.0,5.0,5.0,4.0,YES,YES,"The system correctly identified that escalation/clarification is needed due to potential intent ambiguity or specialized network troubleshooting, and the response politely asks for more details without making unsupported claims."
VZ-013,4.0,4.0,5.0,5.0,4.0,YES,YES,The system response empathetically acknowledges the customer's frustration about customer service hold times and appropriately escalates the issue to a human support agent.
VZ-015,4.0,3.0,5.0,5.0,4.0,YES,YES,The customer's message contains profanity and an unspecified link without details about their issue. Polite de-escalation requesting more information along with routing to human support/escalation is the appropriate action.
VZ-018,4.0,4.0,5.0,5.0,4.0,YES,YES,"The customer alleges fraudulent behavior and persistent billing errors by a sales representative, making human review and account escalation necessary and appropriate."
VZ-020,4.0,3.0,5.0,5.0,4.0,YES,YES,The customer describes an intermittent network latency issue that requires deeper troubleshooting. Escalating and asking for more details is appropriate and safe.
VZ-027,4.0,4.0,5.0,5.0,4.0,YES,YES,The reply asks a relevant clarifying question directly supported by historical evidence to identify whether the issue pertains to mobile or residential service.
VZ-030,,,,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 3.347735208s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}"
VZ-034,,,,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.6-flash\nPlease retry in 2.074862019s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '2s'}]}}"
VZ-036,,,,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.6-flash\nPlease retry in 793.731001ms.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.6-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '0s'}]}}"
