case_id,customer_text,gold_intent,predicted_intent,intent_correct,should_escalate,escalation_reason,reply,selected_evidence_customer,selected_evidence_reply,selected_evidence_similarity,selected_evidence_response_type,evidence_available,evidence_selected
VZ-001,@VerizonSupport That didn’t work. Tried both My Fios and Fios Mobile apps.,I06,I06,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Can you uninstall and reinstall the App?,@VerizonSupport That didn’t work. Tried both My Fios and Fios Mobile apps.,"@723269 Can you uninstall and reinstall the App? 
^TDC",1.0,clarification,True,True
VZ-002,"@115722 any updates about the outage in Cliffside Park, NJ? Going on 12 hours with no service.",I01,I01,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","@115722 any updates about the outage in Cliffside Park, NJ?  Going on 12 hours with no service.","@320016 Let us look into it for you. Please DM us the details.
^TNT",1.0000000000000002,escalation,True,True
VZ-003,@VerizonSupport Not really. And my settings weren't an issue before. Nothing has changed except my download speed.,I02,I02,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,We were asking because the next step in troubleshooting would be to factory reset the router. If any settings in the router have been changed they will default back to the information on the sticker. Can you please factory reset the router?,@VerizonSupport Not really. And my settings weren't an issue before. Nothing has changed except my download speed.,"@771620 We were asking because the next step in troubleshooting would be to factory reset the router. If any settings in the router have been changed they will default back to the information on the sticker. Can you please factory reset the router?
^HSB https://t.co/r6xRxLwpyN",1.0000000000000002,clarification,True,True
VZ-007,@117310 @115725 we want Univision back on Fios! Thousands rely on this channel for news. Come to an agreement and bring back the ⚽️,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,We are working on it. You can check at for updates regarding the matter.,@117310 @115725 we want Univision back on Fios! Thousands rely on this channel for news. Come to an agreement and bring back the ⚽️,@549490 We are working on it. You can check at https://t.co/AatMW6MCLu for updates regarding the matter.  ^JRA,1.0000000000000002,troubleshooting,True,True
VZ-010,@115722 can you please tell me why I keep on disconnecting from my router I thought your server was the best internet in the world?!?!?,I02,I02,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Our apologies as we want you connected. Is this happening over a wired or wireless connection?,@115722 can you please tell me why I keep on disconnecting from my router I thought your server was the best internet in the world?!?!?,@424708 Our apologies as we want you connected. Is this happening over a wired or wireless connection? ^JRA,1.0,clarification,True,True
VZ-011,"@382476 @115722 Kinda like @247 They have a “flex” pack but it’s really just a smaller package of channels, many of which I wouldn’t ever watch.",I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","@382476 @115722 Kinda like @247 
They have a “flex” pack but it’s really just a smaller package of channels, many of which I wouldn’t ever watch.","@128838 Hello. We also have Custom TV, which gives you more of the channels you only watch. 
^TXA",1.0000000000000002,unknown,True,True
VZ-014,@VerizonSupport WTH is going on with ur service? My daughter has been w/o mobile service for 4 days now? Not cool 4 a college student.,I05,I05,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport WTH is going on with ur service?  My daughter has been w/o mobile service for 4 days now?  Not cool 4 a college student.,"@635137 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA",1.0,unknown,True,True
VZ-016,@VerizonSupport No just the on demand,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Could you do me a favor and reboot the router and then that box please?,@VerizonSupport No just the on demand,@587603 Could you do me a favor and reboot the router and then that box please? ^RMD,1.0,clarification,True,True
VZ-017,we pay $200 a month for cable and Bein sports isn’t even HD. @115900 is straight trash. i’m going back to verizon,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","we pay $200 a month for cable and Bein sports isn’t even HD. 
@115900 is straight trash. 
 
i’m going back to verizon","@718065 We'd love to have you, Jacob.  Let us know how we can help with that switch. ^BCW",1.0000000000000002,unknown,True,True
VZ-019,@VerizonSupport 4G LTE extender still not working. Talked with support for an hour last night but no response yet after a ticket was supposed to be created...,I05,I05,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport 4G LTE extender still not working. Talked with support for an hour last night but no response yet after a ticket was supposed to be created...,@625021 Let's bring in our team with @115990 so they can help with this extender. ^BCW,0.9999999999999998,unknown,True,True
