tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
18232,120049,True,Fri Dec 01 00:32:50 +0000 2017,"@115725 I have been on hold for 98 minutes, what are y’all doing?
@VerizonSupport https://t.co/Pm1eI9GfEB",18230,
17819,119947,True,Fri Dec 01 00:33:16 +0000 2017,@115722 any way you can shake loose an installation time that isn’t shown online?,17817,
17864,119961,True,Fri Dec 01 00:35:20 +0000 2017,"@115722 Wow... Maybe you should reboot the router again! Wheeeeee! SCRIPTS! Just put me back on hold while you transfer me to technical support... It's they don't pick up after 40 minutes on hold, the old router gets hooked back up. You know, the one that worked?","17863,17865",17866
10503,117908,True,Fri Dec 01 00:37:34 +0000 2017,@115725  is garbage. My office phone hasnt worked right since September. Now the VM PW is suddenly rejected and after 2 weeks they still can’t fix it 🖕🖕🖕Verizon,10500,
7950,119940,True,Fri Dec 01 00:41:22 +0000 2017,@VerizonSupport My office phone and internet have been out for two weeks. Maybe it’s for me?,17786,7948
17818,119947,True,Fri Dec 01 00:42:01 +0000 2017,@VerizonSupport I have December 11 scheduled but it’d be perfect if it could be the 10th...,17820,17817
17749,118215,True,Fri Dec 01 00:46:56 +0000 2017,@115722 what channel is the Sixers game on if it's Blacked out on NBA tv??? 08901,17748,
10494,117908,True,Fri Dec 01 00:51:21 +0000 2017,@VerizonSupport Opened second ticket number last Friday and received a call to@my cell that it was corrected. Guess what? it’s not,"10495,10496,10492,10497,10498,10499",10500
11526,118215,True,Fri Dec 01 00:51:40 +0000 2017,"@VerizonSupport what channel is the Sixers game on if it's Blacked out on NBA tv??? 08901
@1638",11525,
7947,117368,True,Fri Dec 01 00:54:14 +0000 2017,@VerizonSupport They just know we all have so many problems.,7946,7948
7776,117312,True,Fri Dec 01 00:54:46 +0000 2017,"@VerizonSupport when I check my voice mail it says that ""voicemail is not active"" - how do I activate it?",7775,
7757,117308,True,Fri Dec 01 00:56:33 +0000 2017,@115722 why is @699 doing this 🤨 never had this problem before 🤔 https://t.co/C7C5tYh1nf,7756,
12904,118612,True,Fri Dec 01 00:57:44 +0000 2017,"@118613 @118614 @118615 Same. @115722, What's up with this? Why is @699 blacked out in Northern NJ?",12903,12905
10490,117908,True,Fri Dec 01 00:59:54 +0000 2017,@VerizonSupport It’s a nice simple small claims case,10493,10489
18231,120049,True,Fri Dec 01 01:04:07 +0000 2017,@VerizonSupport I DM’d y’all  10 minutes ago .I’m still on hold....,18233,18230
13328,118754,True,Fri Dec 01 01:34:20 +0000 2017,@VerizonSupport It’s a little higher now https://t.co/Lg4MzEaYY2,13329,13327
13330,118754,True,Fri Dec 01 01:39:20 +0000 2017,"@VerizonSupport It appears everything is fine now.... this happens a lot, randomly",13332,13329
97909,137463,True,Fri Dec 01 02:19:24 +0000 2017,@VerizonSupport Still terrible. I dare you to fix this,97911,97907
79689,133682,True,Fri Dec 01 06:11:25 +0000 2017,I Telly you @VerizonSupport and @115722 couldn't be any worse.,79688,
79687,133682,True,Fri Dec 01 06:17:18 +0000 2017,@VerizonSupport Yeah return the last hour of my life.  Train your reps to be empathetic.  And get a better automated system @VerizonSupport,79686,79688
79685,133682,True,Fri Dec 01 06:29:17 +0000 2017,@VerizonSupport No all I need is a replacement modem.  The 5ghz band is flakey at best.  Have to reboot modem weekly due to this and other speed issues,79683,79686
79682,133682,True,Fri Dec 01 06:34:53 +0000 2017,@VerizonSupport Like I said can I get my last hour back. If you can't give me that you can't help.,79675,79683
79673,133682,True,Fri Dec 01 06:43:59 +0000 2017,@VerizonSupport I told you how this can be resolved as I told the rep I spoke with but yet you want to educate me.,79671,79675
79672,133682,True,Fri Dec 01 06:51:05 +0000 2017,@VerizonSupport No I'm good thanks too much time wasted with this already.  Time is money tick tock @VerizonSupport,79674,79671
80484,133873,True,Fri Dec 01 15:15:40 +0000 2017,"Yet again @115725 has tricked us into paying for a new line with a ""free tablet."" Dirty.",80482,
17788,119940,True,Fri Dec 01 17:04:46 +0000 2017,"@VerizonSupport Apparently @VerizonSupport is experiencing ""longer than average wait times."" Tell me about it. My office phone and internet has been out for more than two weeks. Same with my neighbors. Someone @115725 is lying to their boss, not just to me.",17789,17786
276853,182152,True,Fri Nov 03 16:23:13 +0000 2017,@VerizonSupport Is someone able to use my number to make solicitation calls without my consent?! I want that stopped!,276852,
276836,182149,True,Fri Nov 03 16:30:01 +0000 2017,@VerizonSupport I was at one of your stores today and was assured a soft credit inquiry from Transunion. Didn’t want to risk a hard pull 1/2,"276833,276838,276839",
276845,182151,True,Fri Nov 03 16:41:12 +0000 2017,@VerizonSupport Bill went up $25 &amp; I receive lots of mail with your deals that I cant use. Please help-I want to receive the value I pay for,276843,
276834,182149,True,Fri Nov 03 16:41:16 +0000 2017,@VerizonSupport I got a notification that my credit was hard pulled an hour later.,276837,276833
276841,182150,True,Fri Nov 03 16:41:30 +0000 2017,"Oh great @VerizonSupport 
My download speed is running between 0.08 and 0.18. Restarting the modem does not help","276840,276842",
276844,182151,True,Fri Nov 03 16:45:14 +0000 2017,@VerizonSupport This is for my residential account,276846,276843
159741,152791,True,Fri Nov 10 10:42:39 +0000 2017,"@115722 for all the money that #VerizonFios is charging in NYC you would at least think they wouldn't be ignorant, dissrespectful, super poor customer service losers! #Optimum is paying Verizon contract fees &amp; I promise you I'm going with it.",159739,
123618,143626,True,Fri Nov 24 00:53:52 +0000 2017,@VerizonSupport You guys said we have to make an appt cuz u guys are upgrading in our area else our phone service will be interrupted. I called 3 different days and 3 diff times and can't get an appt.,123617,123619
124573,143893,True,Fri Nov 24 01:28:12 +0000 2017,Come home from Thanksgiving Dinner and both my internet and cable are down. Thanks @VerizonSupport!,124571,
124568,143891,True,Fri Nov 24 01:33:52 +0000 2017,@115722 whybarent you working :(,124567,
124570,143892,True,Fri Nov 24 01:38:14 +0000 2017,@VerizonSupport There's nowhere on my web profile to opt out of postal spam. I want the Fios promotional mailings to cease.  The alternative is I get a louder ringtone &amp; end my landline of 30 years. Given the situation can you direct me where I may opt out of fios postal spam? ty,124569,
124521,143889,True,Fri Nov 24 01:45:08 +0000 2017,@115722 YOU HAVE THE WORST FUCKING SERVICE EVER. MY FUCKING INTERNET IS DOWN ONCE AGAIN. NO ONE IS IN YOUR OFFICE TO HELP ME. YOU SUCK. WE PAY FOR A PREMIUM SERVICE BUT OUR INTERNET IS DOWN,124518,
124561,143891,True,Fri Nov 24 01:47:15 +0000 2017,@VerizonSupport yes,124559,124567
124517,143889,True,Fri Nov 24 01:49:37 +0000 2017,@VerizonSupport No. It just keeps blinking. The WiFi light isn’t on. The earth light keeps blinking,124516,124518
124560,143891,True,Fri Nov 24 01:51:13 +0000 2017,@VerizonSupport power is verified i just need cable and wifi,124562,124559
124572,143893,True,Fri Nov 24 01:53:28 +0000 2017,@VerizonSupport Got it. Thank you.,124574,124571
125614,144168,True,Fri Nov 24 01:54:16 +0000 2017,@VerizonSupport It just never works,125612,125631
124514,143889,True,Fri Nov 24 01:55:39 +0000 2017,@VerizonSupport There are no outages in my area. The TV works fine. It’s just the internet. This always happens. Please help me with this issue. Shoot a signal to my router https://t.co/JqQew9kVLV,124511,124516
125607,144166,True,Fri Nov 24 02:02:23 +0000 2017,@115722 all of that talk about fiber optic network and i cant watch a minute of football on thanksgiving without the screen freezing. Thanks.,125606,
124563,143891,True,Fri Nov 24 02:04:42 +0000 2017,@VerizonSupport black,124564,124562
124524,143890,True,Fri Nov 24 02:06:45 +0000 2017,@VerizonSupport home-office-solutions/wireless-home-phone,124527,124522
125609,144167,True,Fri Nov 24 02:17:25 +0000 2017,@VerizonSupport Yes that’s the first thing I did and I did it 16 times,125608,125610
125603,144166,True,Fri Nov 24 02:19:33 +0000 2017,@VerizonSupport Everything is secure. This pops up every other minute. Have hard reset the VMS several times along with the local box. https://t.co/bvARgCbkqc,125602,125604
124531,143890,True,Fri Nov 24 02:22:30 +0000 2017,@VerizonSupport Yes.,124532,124530
125599,144165,True,Fri Nov 24 02:22:58 +0000 2017,@115990 i think it is working. not sure why it wasn’t. but now my FIOS box keeps beeping loud every 15 min and needs battery replacement; no one working tonight.,125598,125600
124533,143890,True,Fri Nov 24 02:29:29 +0000 2017,@VerizonSupport I have four cordless phones but only one actually uses a phone jack. The other three are plugged into an electric outlet.,124534,124532
125597,144165,True,Fri Nov 24 02:29:50 +0000 2017,@VerizonSupport ty,125596,125598
125595,144164,True,Fri Nov 24 02:32:54 +0000 2017,@115725 how long after I pay my bill before I receive my reward point? The offer I want expires in  an hour or so.,125594,
125590,144163,True,Fri Nov 24 02:37:28 +0000 2017,"@VerizonSupport Cant seem to connect to internet. We've rebooted the router few times, no connection",125588,125592
125587,144162,True,Fri Nov 24 02:39:43 +0000 2017,@VerizonSupport outages in Rhode Island? Our Internet is down for the millionth time.,125586,
124538,143890,True,Fri Nov 24 02:44:27 +0000 2017,@VerizonSupport Now what?,124554,124536
124537,143890,True,Fri Nov 24 02:47:30 +0000 2017,@VerizonSupport Now disconnected cordless and attached corded. There's a dial tone but not ringing when I call.,124540,124536
124541,143890,True,Fri Nov 24 02:49:34 +0000 2017,@VerizonSupport Yes it's on. On all the phones.,124542,124540
125589,144163,True,Fri Nov 24 02:54:55 +0000 2017,"@VerizonSupport Yes, we're on the phone with Verizon now. Back up battery has been removed, no internet. We're scheduling a visit tomorrow",125591,125588
124549,143890,True,Fri Nov 24 02:58:25 +0000 2017,@VerizonSupport Yes,124550,124546
126561,144407,True,Fri Nov 24 03:05:28 +0000 2017,@VerizonSupport Yes but fios doesn't show up on the connection list.,126560,126562
126559,144406,True,Fri Nov 24 03:15:02 +0000 2017,"Dear @115725 it's difficult 4 me 2 describe how much ass u suck. If u weren't my carrier I would blow chunks ev time I spoke ur name. Unfortunately u r, so I beg of you, pls let me have 1 mo 2 easily pay my bill. just 1.",126558,
126563,144407,True,Fri Nov 24 03:31:30 +0000 2017,@VerizonSupport It looks like it is fixed. It was the security type.  Thanks!,126565,126562
127526,144641,True,Fri Nov 24 03:52:49 +0000 2017,@VerizonSupport have no idea what that is so prob not,127525,127527
127524,144641,True,Fri Nov 24 03:56:29 +0000 2017,@VerizonSupport I know when I'm playing a game and I teleport for like 5 seconds and wireless,127523,127525
127520,144641,True,Fri Nov 24 04:10:07 +0000 2017,@VerizonSupport ok i ran one my dude,127518,127522
127519,144641,True,Fri Nov 24 04:15:25 +0000 2017,@VerizonSupport DM,127521,127518
128538,144920,True,Fri Nov 24 04:28:58 +0000 2017,@VerizonSupport Are you experiencing an internet outage in Rhode Island?,128536,
128535,144920,True,Fri Nov 24 04:33:32 +0000 2017,@VerizonSupport Just did a third reboot and no luck. Still red. Also went to check main box in basement and all is green there.,128534,128536
128540,144921,True,Fri Nov 24 04:37:07 +0000 2017,@115722 request to install fios is pending forever. Says building contacted but no one actually called the building manager. Vz promised fios to be available everywhere in NYC - when the promise is going to be kept?,128539,
128533,144920,True,Fri Nov 24 04:41:20 +0000 2017,@VerizonSupport This box? https://t.co/eJ4x7NeSKF,128532,128534
128530,144920,True,Fri Nov 24 04:48:06 +0000 2017,@VerizonSupport Cable box light is still red.,128529,128531
